art,fem,mar,kid5,phd,ment
4,Women,Single,0,3.1500001,8
4,Women,Single,0,2.3199999,8
4,Men,Single,0,4.29,19
4,Men,Single,0,3.6900001,7
4,Men,Married,1,2.55,21
4,Women,Single,0,4.6199999,3
4,Women,Married,0,2.3599999,5
4,Men,Married,1,4.25,29
4,Men,Married,1,4.29,5
4,Women,Married,0,3.1900001,7
4,Women,Single,0,3.1900001,3
4,Women,Single,0,2.5599999,23
4,Men,Married,0,1.76,7
4,Men,Married,1,2.5799999,25
4,Women,Married,0,3.4100001,4
4,Women,Single,0,3.5899999,9
4,Women,Married,0,1.78,4
4,Women,Single,0,3.75,3
4,Men,Married,2,3.6900001,16
4,Men,Married,0,3.6199999,5
4,Men,Married,0,1.505,4
4,Men,Married,2,2.5799999,6
4,Men,Single,0,2.8699999,15
5,Women,Married,0,2.26,16
5,Women,Single,0,3.75,13
5,Men,Married,2,3.8499999,15
5,Men,Married,1,3.1500001,5
5,Men,Married,1,3.1500001,27
5,Men,Married,0,4.3400002,6
5,Men,Married,0,4.25,12
5,Men,Single,0,3.3599999,11
5,Women,Single,0,3.5899999,14
5,Men,Married,1,2.5799999,25
5,Men,Married,1,3.5899999,21
5,Men,Married,1,2.96,4
5,Men,Married,0,4.54,13
5,Men,Married,0,4.29,30
5,Women,Single,0,2.8699999,12
5,Women,Married,0,4.54,15
5,Women,Married,1,3.8499999,1
5,Men,Married,0,2.5,4
5,Men,Married,1,3.47,0
5,Women,Married,0,2.8599999,24
5,Women,Married,0,4.6199999,0
5,Men,Married,1,4.54,53
5,Men,Married,0,1.25,2
5,Women,Married,0,3.21,19
5,Men,Married,1,1.76,11
5,Women,Single,0,2.5799999,6
5,Women,Single,0,3.6199999,3
6,Men,Married,1,4.6199999,8
6,Women,Married,0,2.0999999,36
6,Women,Married,2,1.86,38
6,Men,Married,0,4.3400002,9
6,Women,Married,0,4.29,24
6,Men,Married,2,2.51,11
6,Men,Married,1,2.96,13
6,Men,Single,0,4.29,18
6,Men,Single,0,3.4000001,14
6,Women,Single,0,4.54,12
6,Men,Married,1,3.8499999,16
6,Women,Single,0,3.1500001,9
6,Women,Single,0,4.54,15
6,Men,Single,0,3.47,6
6,Women,Married,0,4.29,1
6,Men,Single,0,1.97,4
6,Women,Single,0,3.3199999,6
7,Men,Married,0,3.5899999,1
7,Men,Single,0,2.54,6
7,Men,Single,0,3.4100001,20
7,Men,Married,1,1.97,0
7,Women,Single,0,3.1500001,9
7,Men,Single,0,4.6199999,15
7,Men,Single,0,4.54,42
7,Men,Married,0,3.6900001,9
7,Men,Single,0,4.3400002,19
7,Men,Single,0,4.29,19
7,Men,Married,1,3.5899999,27
7,Men,Single,0,3.6900001,19
8,Men,Married,0,2.51,11
9,Men,Married,1,2.96,23
9,Men,Married,1,1.86,47
10,Women,Married,0,3.5899999,18
11,Men,Married,2,2.8599999,7
12,Men,Married,1,4.29,35
12,Men,Married,1,1.86,5
16,Men,Married,0,1.74,21
19,Men,Married,0,1.86,42
